,Rodada,Tempo,Presas,Predadores,Alpha,Beta,Gamma,Delta,x0,y0,Resultado,Ambiente,Anos
1671,1,16.709999999999813,142.70976070003204,59.74924569266487,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1672,1,16.719999999999814,143.05441123094377,59.90235825179734,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1673,1,16.729999999999816,143.3985799028661,60.05710189774991,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1674,1,16.739999999999817,143.74224519477013,60.21348547387655,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1675,1,16.74999999999982,144.0853853703577,60.37151785661435,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1676,1,16.75999999999982,144.427978477634,60.53120795442049,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1677,1,16.769999999999822,144.77000234851985,60.69256470667394,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1678,1,16.779999999999824,145.1114345985036,60.85559708254127,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1679,1,16.789999999999825,145.45225262633485,61.02031407980579,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1680,1,16.799999999999827,145.7924336137604,61.18672472365941,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1681,1,16.809999999999828,146.1319545253039,61.354838065456505,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1682,1,16.81999999999983,146.47079210809042,61.524663181429084,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1683,1,16.82999999999983,146.80892289171692,61.696209171362554,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1684,1,16.839999999999833,147.14632318817024,61.86948515723137,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1685,1,16.849999999999834,147.48296909179336,62.04450028179388,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1686,1,16.859999999999836,147.81883647930158,62.22126370714565,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1687,1,16.869999999999838,148.15390100984968,62.3997846132305,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1688,1,16.87999999999984,148.4881381251513,62.580072196308585,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1689,1,16.88999999999984,148.82152304965217,62.762135667380775,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1690,1,16.899999999999842,149.154030790758,62.9459842505686,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1691,1,16.909999999999844,149.4856361391187,63.13162718144902,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1692,1,16.919999999999845,149.81631366897042,63.31907370534332,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1693,1,16.929999999999847,150.14603773853614,63.508333075559364,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1694,1,16.93999999999985,150.4747824904869,63.69941455158647,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1695,1,16.94999999999985,150.80252185246454,63.892327397242234,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1696,1,16.95999999999985,151.12922953766767,64.08708087877042,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1697,1,16.969999999999853,151.45487904550208,64.28368426288941,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1698,1,16.979999999999855,151.77944366229698,64.48214681479018,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1699,1,16.989999999999856,152.1028964620888,64.6824777960834,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1700,1,16.999999999999858,152.4252103074736,64.88468646269465,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1701,1,17.00999999999986,152.7463578505298,65.08878206270712,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1702,1,17.01999999999986,153.06631153381264,65.2947738341512,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1703,1,17.029999999999863,153.38504359142183,65.50267100273997,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1704,1,17.039999999999864,153.70252605014377,65.71248277955013,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1705,1,17.049999999999866,154.01873073067003,65.92421835864744,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1706,1,17.059999999999867,154.33362924889343,66.13788691465618,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1707,1,17.06999999999987,154.64719301728329,66.35349760027175,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1708,1,17.07999999999987,154.95939324634134,66.57105954371579,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1709,1,17.089999999999872,155.27020094613977,66.79058184613311,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1710,1,17.099999999999874,155.5795869279431,67.01207357892983,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1711,1,17.109999999999875,155.88752180591507,67.23554378105194,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1712,1,17.119999999999877,156.1939759989125,67.4610014562037,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1713,1,17.129999999999878,156.4989197323672,67.68845557000526,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1714,1,17.13999999999988,156.8023230402579,67.91791504708871,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1715,1,17.14999999999988,157.10415576717338,68.14938876813224,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1716,1,17.159999999999883,157.40438757046843,68.38288556683142,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1717,1,17.169999999999884,157.70298792251432,68.61841422680735,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1718,1,17.179999999999886,157.99992611304506,68.85598347845084,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1719,1,17.189999999999888,158.29517125160115,69.09560199570231,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1720,1,17.19999999999989,158.58869227007222,69.33727839276662,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1721,1,17.20999999999989,158.88045792534015,69.58102122076251,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1722,1,17.219999999999892,159.17043680202414,69.82683896430599,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1723,1,17.229999999999894,159.4585973153291,70.07474003802734,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1724,1,17.239999999999895,159.74490771399905,70.32473278302119,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1725,1,17.249999999999897,160.02933608337693,70.57682546322918,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1726,1,17.2599999999999,160.31185034857202,70.83102626175499,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1727,1,17.2699999999999,160.59241827773684,71.08734327711107,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1728,1,17.2799999999999,160.8710074854546,71.34578451939706,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1729,1,17.289999999999903,161.1475854362388,71.6063579064092,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1730,1,17.299999999999905,161.4221194481462,71.86907125968081,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1731,1,17.309999999999906,161.6945766965046,72.13393230045318,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1732,1,17.319999999999908,161.96492421775707,72.40094864557703,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1733,1,17.32999999999991,162.23312891342314,72.67012780334404,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1734,1,17.33999999999991,162.4991575541792,72.94147716924847,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1735,1,17.349999999999913,162.76297678405865,73.2150040216786,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1736,1,17.359999999999914,163.0245531247735,73.49071551753804,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1737,1,17.369999999999916,163.28385298015814,73.7686186877968,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1738,1,17.379999999999917,163.54084264073703,74.04872043297208,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1739,1,17.38999999999992,163.79548828841686,74.33102751853885,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1740,1,17.39999999999992,164.04775600130463,74.61554657027034,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1741,1,17.409999999999922,164.29761175865264,74.90228406950854,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1742,1,17.419999999999924,164.54502144593124,75.1912463483648,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1743,1,17.429999999999925,164.78995086003056,75.4824395848509,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1744,1,17.439999999999927,165.03236571459178,75.77586979794076,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1745,1,17.44999999999993,165.27223164546922,76.07154284256322,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1746,1,17.45999999999993,165.50951421632377,76.3694644045261,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1747,1,17.46999999999993,165.74417892434846,76.66963999537218,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1748,1,17.479999999999933,165.97619120612706,76.97207494716744,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1749,1,17.489999999999934,166.205516443626,77.27677440722225,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1750,1,17.499999999999936,166.43211997032077,77.58374333274591,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1751,1,17.509999999999938,166.65596707745655,77.89298648543556,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1752,1,17.51999999999994,166.8770230204444,78.20450842599983,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1753,1,17.52999999999994,167.09525302539257,78.51831350861832,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1754,1,17.539999999999942,167.31062229577395,78.8344058753376,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1755,1,17.549999999999944,167.52309601922937,79.1527894504048,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1756,1,17.559999999999945,167.73263937450736,79.47346793453977,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1757,1,17.569999999999947,167.93921753854008,79.79644479914687,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1758,1,17.57999999999995,168.14279569365576,80.12172328046755,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1759,1,17.58999999999995,168.34333903492742,80.44930637367501,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1760,1,17.59999999999995,168.5408127776577,80.77919682691227,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1761,1,17.609999999999953,168.7351821649996,81.11139713527484,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1762,1,17.619999999999955,168.9264124757129,81.44590953473988,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1763,1,17.629999999999956,169.1144690320557,81.78273599604294,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1764,1,17.639999999999958,169.29931720781045,82.12187821850426,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1765,1,17.64999999999996,169.48092243644436,82.46333762380618,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1766,1,17.65999999999996,169.6592502194028,82.80711534972359,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1767,1,17.669999999999963,169.83426613453526,83.1532122438092,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1768,1,17.679999999999964,170.00593584465307,83.50162885703574,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1769,1,17.689999999999966,170.1742251062174,83.85236543739713,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1770,1,17.699999999999967,170.33909977815676,84.2054219234707,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1771,1,17.70999999999997,170.50052583081268,84.56079793794291,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1772,1,17.71999999999997,170.65846935501202,84.9184927811008,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1773,1,17.729999999999972,170.81289657126464,85.27850542429162,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1774,1,17.739999999999974,170.96377383908475,85.64083450335336,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1775,1,17.749999999999975,171.11106766643394,86.00547831201855,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1776,1,17.759999999999977,171.25474471928464,86.37243479529435,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1777,1,17.76999999999998,171.39477183130128,86.74170154282166,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1778,1,17.77999999999998,171.53111601363764,87.11327578221618,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1779,1,17.78999999999998,171.66374446484784,87.48715437239453,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1780,1,17.799999999999983,171.79262458090855,87.86333379688853,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1781,1,17.809999999999985,171.91772396535023,88.24181015715095,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1782,1,17.819999999999986,172.03901043949435,88.62257916585604,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1783,1,17.829999999999988,172.15645205279392,89.00563614019828,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1784,1,17.83999999999999,172.2700170932748,89.39097599519299,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1785,1,17.84999999999999,172.37967409807385,89.77859323698242,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1786,1,17.859999999999992,172.48539186407183,90.168481956151,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1787,1,17.869999999999994,172.58713945861655,90.56063582105381,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1788,1,17.879999999999995,172.6848862303337,90.95504807116204,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1789,1,17.889999999999997,172.7786018200211,91.35171151042965,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1790,1,17.9,172.86825617162293,91.75061850068535,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1791,1,17.91,172.9538195432798,92.15176095505412,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1792,1,17.92,173.0352625184505,92.55513033141274,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1793,1,17.930000000000003,173.1125560171017,92.96071762588379,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1794,1,17.940000000000005,173.18567130696027,93.36851336637253,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1795,1,17.950000000000006,173.25458001482474,93.77850760615158,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1796,1,17.960000000000008,173.31925413793044,94.19068991749792,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1797,1,17.97000000000001,173.37966605536374,94.6050493853872,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1798,1,17.98000000000001,173.43578853952056,95.02157460125026,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1799,1,17.990000000000013,173.4875947676036,95.44025365679684,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1800,1,18.000000000000014,173.5350583331536,95.86107413791171,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1801,1,18.010000000000016,173.57815325760842,96.28402311862833,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1802,1,18.020000000000017,173.6168540018854,96.70908715518522,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1803,1,18.03000000000002,173.65113547798006,97.13625228017075,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1804,1,18.04000000000002,173.68097306057632,97.56550399676136,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1805,1,18.050000000000022,173.7063425986616,97.99682727305898,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1806,1,18.060000000000024,173.72722042714102,98.43020653653318,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1807,1,18.070000000000025,173.74358337844419,98.86562566857366,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1808,1,18.080000000000027,173.75540879411827,99.30306799915881,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1809,1,18.09000000000003,173.76267453640074,99.74251630164609,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1810,1,18.10000000000003,173.76535899976525,100.18395278769009,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1811,1,18.11000000000003,173.76344112243373,100.62735910229406,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1812,1,18.120000000000033,173.7569003978477,101.07271631900095,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1813,1,18.130000000000035,173.74571688609194,101.52000493522978,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1814,1,18.140000000000036,173.72987122526342,101.96920486776347,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1815,1,18.150000000000038,173.70934464277786,102.42029544839403,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1816,1,18.16000000000004,173.68411896660692,102.87325541973128,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1817,1,18.17000000000004,173.6541766364384,103.32806293118105,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1818,1,18.180000000000042,173.6195007147519,103.7846955350991,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1819,1,18.190000000000044,173.5800748978022,104.2431301831267,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1820,1,18.200000000000045,173.53588352650291,104.70334322271404,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1821,1,18.210000000000047,173.48691159720198,105.1653103938377,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1822,1,18.22000000000005,173.4331447723419,105.62900682591795,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1823,1,18.23000000000005,173.37456939099607,106.09440703494234,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1824,1,18.24000000000005,173.31117247927347,106.56148492080125,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1825,1,18.250000000000053,173.2429417605837,107.03021376484183,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1826,1,18.260000000000055,173.1698656657541,107.5005662276459,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1827,1,18.270000000000056,173.0919333429906,107.97251434703807,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1828,1,18.280000000000058,173.00913466767457,108.4460295363298,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1829,1,18.29000000000006,172.9214602519871,108.92108258280535,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1830,1,18.30000000000006,172.82890145435226,109.39764364645528,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1831,1,18.310000000000063,172.73145038869168,109.87568225896324,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1832,1,18.320000000000064,172.62909993348157,110.35516732295173,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1833,1,18.330000000000066,172.52184374060425,110.83606711149221,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1834,1,18.340000000000067,172.40967624398596,111.31834926788518,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1835,1,18.35000000000007,172.29259266801242,111.80198080571533,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1836,1,18.36000000000007,172.17058903571433,112.2869281091872,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1837,1,18.370000000000072,172.04366217671443,112.77315693374626,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1838,1,18.380000000000074,171.91180973492806,113.26063240699045,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1839,1,18.390000000000075,171.77503017600912,113.749319029877,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1840,1,18.400000000000077,171.6333227945337,114.23918067822919,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1841,1,18.41000000000008,171.48668772091315,114.73018060454758,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1842,1,18.42000000000008,171.33512592802887,115.22228144013006,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1843,1,18.43000000000008,171.17863923758148,115.71544519750485,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1844,1,18.440000000000083,171.01723032614618,116.20963327318061,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1845,1,18.450000000000085,170.85090273092726,116.70480645071733,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1846,1,18.460000000000086,170.67966085520422,117.20092490412162,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1847,1,18.470000000000088,170.50350997346234,117.69794820157,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
